,241,247,274,286,287,288,297,299,301,311,314,327,329,332,334,340,343,349,350,923,929,932,948,951,952,953,954,955,956,957,958,959,969,972,973,977,979,984,986,993,1001,1015,1016,1025,1032,1053,1060,1061,1062,1065,1069,1070,1074,1075,1082,1083,1084,1090,1096,1099,1104,1107,1110,1111,1129,1130,1132,1133,1136,1141,1143,1145
max_flood_level_w_5_05,0,7,18,0,0,10,11,7,13,0,0,1,2,2,13,17,10,11,0,6,0,14,5,0,13,16,21,8,10,9,3,1,8,2,10,2,7,17,7,6,0,14,14,0,7,0,4,4,18,17,4,9,0,12,5,2,8,0,10,1,0,17,2,19,0,0,21,10,14,6,0,21
max_flood_level_w_5_10,1,8,16,0,0,11,6,7,8,5,0,5,4,4,11,15,18,12,0,6,0,16,5,3,15,20,19,8,5,12,3,1,8,0,10,2,13,15,7,4,4,12,11,0,10,2,0,3,18,18,3,7,5,3,9,8,6,8,10,0,0,13,0,16,0,5,19,10,11,5,5,21
max_flood_level_w_5_15,0,7,15,0,0,10,8,6,10,2,0,2,4,3,11,14,11,11,0,1,0,10,2,0,12,12,18,2,1,5,0,0,2,0,4,0,7,10,1,1,0,7,10,0,2,0,0,1,12,13,0,1,1,7,0,1,3,0,4,0,0,13,0,15,0,0,18,7,8,0,0,17
max_flood_level_w_5_25,0,7,14,0,0,10,6,6,8,2,0,2,0,2,11,14,16,11,0,7,0,16,4,3,13,20,20,10,7,12,4,1,9,0,11,2,12,16,8,2,5,13,12,0,10,3,0,3,18,18,3,9,6,6,9,8,5,8,10,0,0,15,0,17,0,7,20,10,12,6,5,20
max_flood_level_wnw_5_05,1,8,16,0,0,11,9,7,11,3,0,3,4,3,12,15,12,12,0,1,0,11,3,0,13,16,18,2,1,6,0,0,3,0,4,0,10,10,2,2,0,7,11,0,2,0,0,1,13,14,0,1,2,6,4,2,5,1,4,0,0,15,0,16,0,0,18,9,11,0,0,18
max_flood_level_wnw_5_10,0,6,15,0,0,9,8,6,10,1,0,2,4,3,11,14,10,11,0,0,0,10,2,0,12,12,16,2,1,4,0,0,2,0,4,0,7,10,0,2,0,7,8,0,0,0,0,1,12,12,0,1,0,7,0,0,4,0,3,0,0,13,0,14,0,0,17,7,8,0,0,17
max_flood_level_wnw_5_15,2,9,18,2,1,13,9,10,12,5,0,7,9,7,13,18,16,14,0,4,0,14,5,0,15,16,19,3,2,9,2,0,5,0,5,0,12,14,3,4,0,11,12,0,6,0,0,4,15,15,0,2,3,10,5,5,7,1,7,0,0,17,0,18,0,0,20,10,12,0,0,20
max_flood_level_wnw_5_25,5,9,16,3,0,13,7,7,9,7,0,7,5,6,12,15,16,14,1,1,0,11,3,0,15,16,16,2,1,8,0,0,2,0,4,0,12,10,1,2,0,7,8,0,2,0,0,1,12,14,0,0,2,3,4,3,5,4,4,0,0,13,0,15,0,0,17,9,8,0,1,19
max_flood_level_nw_5_05,0,5,15,0,0,8,6,5,9,0,0,1,0,1,10,14,15,10,0,9,0,16,5,2,13,20,20,11,10,12,4,3,10,2,12,2,10,18,8,6,4,14,13,0,11,2,4,4,19,18,7,10,4,11,9,7,7,6,11,1,0,17,2,17,0,5,20,10,13,7,0,21
max_flood_level_nw_5_10,0,3,10,0,0,6,5,2,8,0,0,0,0,0,6,11,11,8,0,7,0,16,3,1,11,19,19,10,9,12,2,1,8,0,11,1,8,17,8,4,4,14,12,0,10,1,3,3,18,16,7,10,3,10,8,3,5,5,10,0,0,15,2,15,0,5,19,8,11,7,0,19
max_flood_level_nw_5_15,0,3,11,0,0,6,6,3,8,0,0,0,0,0,7,11,10,8,0,7,0,16,3,0,10,19,20,10,9,12,3,0,8,0,11,1,7,17,7,5,3,14,12,0,9,1,2,3,18,16,5,10,3,11,8,2,5,4,10,0,0,17,1,16,0,5,19,8,12,7,0,20
max_flood_level_nw_5_25,5,9,17,3,1,13,8,8,11,7,0,7,9,7,12,17,16,14,1,0,0,10,3,0,15,12,15,1,0,4,0,0,1,0,3,0,10,9,0,1,0,6,7,0,0,0,0,1,11,12,0,0,0,3,0,2,5,0,2,0,0,12,0,14,0,0,15,8,7,0,0,17
max_flood_level_nnw_5_05,5,11,17,2,1,14,11,10,11,7,0,7,9,7,13,17,16,15,0,0,0,10,2,0,15,16,18,1,0,6,0,0,1,0,3,0,12,9,0,1,0,6,10,0,0,0,0,0,11,14,0,0,3,3,4,3,3,6,2,0,0,13,0,15,0,0,18,8,8,0,5,17
max_flood_level_nnw_5_10,0,7,15,0,0,10,9,7,10,2,0,2,4,3,11,15,12,11,0,4,0,14,3,0,13,16,19,6,2,9,2,0,5,0,7,0,10,14,3,2,3,8,12,0,6,1,0,1,15,16,0,2,2,7,5,3,5,5,7,0,0,15,0,16,0,2,19,8,11,3,3,19
max_flood_level_nnw_5_15,0,1,10,0,0,4,6,1,8,0,0,0,0,0,5,11,9,7,0,2,0,10,1,0,9,12,18,6,5,4,0,0,3,0,7,0,5,11,2,1,0,11,11,0,2,0,0,1,13,13,2,6,1,11,0,0,3,0,4,0,0,13,0,13,0,0,18,6,8,3,0,16
max_flood_level_nnw_5_25,0,7,17,0,0,10,9,7,12,0,0,2,4,3,12,15,12,11,0,6,0,16,4,1,13,19,21,8,8,12,3,1,8,0,10,2,10,16,7,5,3,14,14,0,8,2,0,4,18,18,3,7,4,11,8,5,7,5,10,0,0,17,0,18,0,4,21,10,13,5,0,21
